운영기관명,상품명,운영기관구분,상품구분,학자금유형구분,대학구분,학년구분,학과구분,성적기준,소득기준,지원금액,특정자격,지역거주여부,신청기간,선발방법,선발인원,자격제한,추천필요여부,제출서류
동원그룹리더십장학재단,동원장학생,민간(기업),장학금,기타,특정대학,"대학3학기,대학4학기,대학5학기,대학6학기,대학7학기","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," - 직전학기 취득학점 14학점 이상, 평점평균 3.5이상 (계절학기 포함가능)",제한없음," - 학기당 2,500,000원 * 장학금 계속 지급 조건 : 장학생으로 선발된 자가 결격사유(성적미달, 징계 등)에 해당하지 않을 경우에는 8학기까지 계속하여 지급함 * 생활비 장학금으로 등록금 범위 초과 수혜 가능", - 2021년 1학기 기준 3학기 이상 7학기 이하 재학중인 학생 - 직전학기 취득학점 14학점 이상 평점평균 3.5이상인자 - 국가 및 사회 발전에 공헌 가능성이 크다고 인정된 자  - 품행이 단정하고 도전과 창조의 정신을 지닌 자  - 생활비 명목으로 타 장학금과 등록금 범위 초과하여 지급 가능  ,제한없음, - 2021-04-19~2021-04-27(화) 11시 , - 서류심사 - 면접심사, - 3명," - 9학기 이상 등록자 - 기존 장학생 중 성적이 미달될 경우, 1회 경고후 구제하며 2회이상일 경우 장학생 자격 상실 - 학교의 징계를 받은자 - 휴학의 경우 해당학기에 대해서만 지급을 중지하고, 학과로 복학할경우 다시 자격 부여 - 서울(터키·아제르바이잔과·중국언어문화전공)/글로벌(한국학과)는 선발 제외",불필요, - 장학생지원서 - 추천서 - 성적증명서 원본    - 교내외 봉사활동 및 입상경력 증빙서류 일체 - 개인정보이용동의서 * 제출처 - 서울캠퍼스 : 학생지원팀(국제학사 101호) * 교내장학금으로 관련부서에 연락 후 신청
(재)정인욱학술장학재단,성적장학금,민간(기업),장학금,지역연고,"4년제(5~6년제포함),일반대학원,전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,박사과정,석사2학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",  - 全학년 평점평균 백분위 환산점수 85점 이상(3.5 이상),제한없음," - 1,000,000원"," - 고등학생, 2년제 이상 대학생", - 공고일 현재 연천군 내 주소를 두고 1년 이상 거주하고 있는 세대 중 학업 성적이 우수한 저소득층 자녀로 장래 지역발전에 기여할 인재를 선발.지원원, - 2021-08-09~2021-08-18, - 선발기준 : 서류심사(성적) + 자기소개서 + 추천서, - OO명 (특별장학금 선발인원 포함 총 40명 이내 선발)," - 재단 장학금 외 타 기관·단체에서 장학금 수혜 사실(예정포함)이 있는 사람 - 소속 학교에서 퇴학, 휴학 및 징계처분을 받은 사람 - 군입대, 질병, 기타 사유로 장기간 학업을 계속할 수 없는 사람 - 한 가정 한 자녀 지원원칙", - 학교장 또는 대학 총·학장의 추천서 제출," - 성적증명서  1 부(평점평균 및 백분위 환산점수가 표기된 全학년 성적표) - 추천서(학교장, 대학 총/학장)  1 부 - 장학금지급원서(양식참조) 1부 - 환경조사서(양식참조) 1부 - 서약서(양식참조) 1부 - 영수증(양식참조) 1부 - 개인정보 처리 동의서(학생, 보호자) 1부 - 재학증명서 1부 - 입금계좌사본 1부 - 주민등록등본 1부"
(재)정인욱학술장학재단,특별장학금,민간(기업),장학금,지역연고,"4년제(5~6년제포함),일반대학원,전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,박사과정,석사2학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",제한없음,제한없음," - 1,000,000원"," - 2년제이상 대학·대학원생 - 학업 성적은 미달되지만 주위 사람들로부터 품행, 효행, 봉사에 대한 칭찬을 받고 마을 이장이나 학교장(대학총·학장)의 추천을 받은 경우", - 공고일 현재 연천군 내 주소를 두고 1년 이상 거주하고 있는 세대, - 2020-08-03 ~ 2020-08-12, - 선발기준 : 서류심사(성적) + 추천서 + 자기소개서, - OO명 ( * 성적장학금 선발인원 포함 총 40명 선발)," - 재단 장학금 외 타 기관·단체에서 장학금 수혜 사실(예정포함)이 있는 사람 - 소속 학교에서 퇴학, 휴학 및 징계처분을 받은 사람 - 군입대, 질병, 기타 사유로 장기간 학업을 계속할 수 없는 사람 - 한 가정 한 자녀 선발원칙", - 대학 총·학장 또는 마을 이장의 추천서 제출," - 성적증명서  1 부(평점평균 및 백분위 환산점수가 표기된 全학년 성적표) - 추천서  1 부 - 장학금지급원서(양식참조) 1부 - 환경조사서(양식참조) 1부 - 서약서(양식참조) 1부 - 영수증(양식참조) 1부 - 개인정보 처리 동의서(학생, 보호자) 1부 - 재학증명서 1부 - 입금계좌사본 1부 - 주민등록등본 1부 * 접수처 : 연천군 통일평생교육원 교육청소년팀으로, 자세한 사항은 첨부파일 참조"
재단법인 경북대학교장학회,글로벌100진학장학금,대학교,장학금,기타,해외대학,석사신입생(1학기),"공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",제한없음,제한없음," - 1인당 2,000,000원"," - 2016학년도 5월 이후 졸업한 경북대학교 학부 졸업(예정)생으로서 세계 100위 이내 대학의 대학원 진학한 자(국내 대학 제외) - 상하이교통대학, The Times지, Newsweek지에서 발표하는 대학 순위에 한 곳이라도 100위 안에 해당하는 대학",제한없음, - 2020-02-06 ~ 2020-09-18,기준없음,약간명," - 단, 도전장학생(2013학번 입학자까지) 및 글로벌인재학부 인재육성장학생은 제외",불필요,"* 신청시 학교 장학 공고 확인 필수. - 추천서 - 입학 입증 서류(재학증명서, 입학허가 서류 등) - 통장사본"
재단법인 경북대학교장학회,KNU국가고시장학금,대학교,장학금,기타,특정대학,"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",제한없음,제한없음," - 1회째 1,100,000원 - 2회째 500,000원"," - 학부 재적생으로 2020년도 5급시험(행정,입법,기술,지방), 외교관 후보자, 공인회계사, 변리사 1차 합격자",제한없음, - 2020-05-12 ~ 2020-05-29 공인회계사 ~ 2020-06-30 5급 및 외교관 후보자 ~ 2020-08-14 변리사,기준없음,약간명,제한없음,불필요, * 교내장학금으로 학교 홈페이지 공고참고 필수 - 장학금 신청서 - 1차 합격 입증서류(합격통지서) - 통장사본
재단법인 경북대학교장학회,KNU토플우수자장학금,대학교,장학금,기타,특정대학,"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", - 2020-02-01 ~ 07-31까지 TOEFL(iBT) 80점 이상 취득한 학생,제한없음," - 200,000원", - 경북대학교 재학생 및 휴학생 - 2020. 2. 1 ~ 7. 31.까지 TOEFL(iBT) 80점 이상 취득한 학생,제한없음, - 2020-07-27 ~ 2020-08-07,기준없음, - 150명,제한없음,불필요, * 신청시 학교 장학 공고 확인 필수 - 신청서 - 재학증명서 - 성적표
재단법인 경북대학교장학회,KNU학업지원장학금,대학교,장학금,기타,특정대학,"대학7학기,대학8학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", - 대학 전학년 이수성적 평점평균 3.0 이상, - 기초생활수급자∼소득 1분위 이내 해당자," - 학업장려비 1인당 1,000,000원"," - 경북대학교 학부 졸업예정자로서, 2021학년도 1학기에 본교 일반대학원에 석사과정생으로 진학하는 학생 중 학업 및 연구를 충실히 수행가능한 자로 지도(예정)교수가 추천하는 자 * 학부졸업자로서 21학년도 1학기에 대학원 석사과정(석·박사 통합과정)에 합격하여 입학예정인 자만 포함",제한없음, - 2020-11-18 ~ 2020-02-21, - 서류심사, - 300명 이내," - 학부수료자 및 졸업자 - 수업연한 초과자 - 징계처분을 받은 경우 및 기타 부적격자로 인정된 경우 - 교내·외 단체 등에서 학업지원 장학금(생활비, 교재비 등) 100만원 이상 지원받는 경우 * 자세한 사항은 첨부파일 참조", - 지도(예정)교수의 추천서 제출 - 학과(부)의 추천→단과대학의 추천→학생과, - 장학금 신청서 - 지도(예정)교수 추천서 - 통장사본 * 자세한 사항은 첨부파일 참조
수성인재육성장학재단,수성인재장학생(성적우수),지자체,장학금,지역연고,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," - 학기당 12학점 이상 이수자 - 직전 2개 학기 평균 90점 이상(단, 1학년의 경우 직전학기 성적 평균 90점 이상)", - 한국장학재단 소득분위 9분위 이하 (소득분위 보유 필수)," - 2,000,000원 * 등록금 범위 내", - 국내대학 재학생으로 성적 우수자, - 공고일 현재 본인 또는 부모가 수성구에 1년 이상 거주하고 있는 대구시내 소재 국내대학 재학생, - 2020-09-28 ~ 2020-10-12,기준없음, - 18명, - 직전년도 수성인재장학생 - 신청학기 휴학생 - 공고일 직전 1년간 징계·형사처리 받은 자 - 직전 2개 학기 성적 중 D학점 이하의 학점이 있는 자 * 자세한 사항은 첨부파일 참조, - 학장 또는 총장의 추천서 제출, - 장학금 지원신청서 - 장학생 추천서 - 신청인 서약서 - 장학금 비수혜(수혜) 확인서 - 개인정보 수집·이용·제공 및 조회동의서  - 주민등록 등본 또는 초본 - 통장사본 - 성적증명서 - 재학증명서 - 등록금 납입영수증 - 소득분위 확인서 - 가점 증빙서류(해당자) * 자세한 사항은 첨부파일 참조
수성인재육성장학재단,수성인재장학생(희망),지자체,장학금,지역연고,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,연령제한,제한없음","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," - 학기당 12학점 이상 이수자 - 직전 2개 학기 평균 80점 이상 (단, 1학년은 직전 학기 평균 80점 이상)", - 소득분위 9분위 이내(소득분위 보유 필수) - 기초생활수급자증명서 및 차상위계층확인서 제출 가능자," - 2,000,000원 * 생활비", - 국내대학 거주중인 기초생활수급자 또는 차상위계층 가정 자녀, - 공고일 현재 본인 또는 부모가 수성구에 1년 이상 거주하고 있는 대구시내 소재 대학교 재학생 , - 2020-09-28 ~ 2020-10-12,기준없음, - 10명, - 1세대 1명 선발 - 직전학기 수성인재장학생 - 신청학기 휴학생 - 공고일 직전 1년간 징계·형사처분 받은 경우 * 자세한 사항은 첨부파일 참조,불필요, - 장학금 지원 신처엇 - 장학생 추천서 - 신청인 서약서 - 장학금 비수혜(수혜) 증명서 - 개인정보 수집·이용·제공 조회동의서 - 주민등록 등본 또는 초본 - 통장사본 - 성적증명서 - 재학증명서 - 등록금 납입영수증 - 소득분위 확인서 - 기초생활수급자 증명서 / 차상위계층 확인서 - 가점 대상자 증빙서류(해당자) * 자세한 사항은 첨부파일 참조
재단법인 의성군인재육성재단,예체능특기자장학금,지자체,장학금,특기자,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생,연령제한,제한없음",예체능계열,제한없음,제한없음,"1위 : 2,500,000원2위 : 2,000,000원3위 : 1,500,000원", - 2019년도 예체능 분야 전국대회 입상자※ 전국대회 규모 의성군인재육성재단 자체 심의에 의거 제외 가능, - 관내 고등학교를 졸업한 대학생, - 2019-11-25 ~ 2019-12-04,기준없음, - 5명, - 장학생 신청서 내용과 첨부서류를 허위로 작성하여 제출하였을 경우 - 장학금 신청 후 군입대 또는 휴학하는 경우 - 기타 이사장이 장학금의 지급을 정지할 필요가 있다고 인정할 경우,불필요," - 고등학교 졸업증명서 - 대학교 재학 증명서 - 주민등록등본 - 가족관계증명서(부 모, 자녀 주소지 다를 경우)*신청서 배부 및 접수처 : 의성군청 홈페이지 공지사항에서 신청서 배부, 군청 총무과로 방문 또는 등기우편접수※ 접수처: 의성군 의성읍 군청길 31 총무과 평생교육계"
재단법인 의성군인재육성재단,이장자녀장학금,지자체,장학금,지역연고,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음", - 직전학기 성적이 평균 B이상인 자,제한없음," - 2,000,000원", - 의성군 현직 이장 재직경력 1년(2019.11.20)이상인 자의 자녀, - 관내 중·고등학교를 졸업하고 대학교에 재학중인 자, - 2019-11-25 ~ 2019-12-04,기준없음, - 15명, - 2019년 기 수혜자 - 장학생 신청서 내용과 첨부서류를 허위로 작성하여 제출하였을 경우 - 장학생이 퇴학하였거나 정학 이상의 징계 처분을 받았을 때  - 기타 이사장이 장학금의 지급을 정지할 필요가 있다고 인정할 경우, - 읍면장 추천," - 장학생 지원신청서, 각서  - 장학금 지급신청서  - 개인정보제공동의서 - 읍·면장 추천서 - 중·고등학교 졸업증명서 - 주민등록등본 - 가족관계증명서(부·모, 자녀 주소지가 다를 경우) - 대학교 재학증명서 - 직전학기 성적증명서 - 등록금 납입증명서"
재단법인 안산인재육성재단,안산꿈키움장학생(우수장학생),지자체,장학금,지역연고,"4년제(5~6년제포함),전문대(2~3년제)",대학신입생,"공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," - 신입생 : 수능 고득점자 또는 직전학년 교과목 평균 85점 이상인 자 - 재학생 : 직전학기 백분율 환산점수 85점 이상, 최소 12학점 이상 이수한 자자",제한없음, - 1개 학기 등록금(200만원 한도 내 지급), - 29세 이하 대학생, - 공고일 현재 본인과 가구원 1인 이상이 계속하여 3년 이상 또는 합산 10년 이상 안산시에 주소를 두고 거주하고 있는 자, - 2021-03-22 ~ 2021-03-26,기준없음, - 150명," - 대학생중 타장학금 수혜시 등록금 범위내에서 장학금 지급 가능 - 원격대학 및 온라인강의, 교환학생, 휴학생은 제외 - 시 관외로 이주한 경우(1개월 내에 시 관내로 돌아온 경우 제외) - 퇴학/정학/휴학처분을 받거나 자퇴, 군입대, 건강장애 등 기타 사유로 학업을 중단하거나 계속할 수 없을 경우 ",불필요, - 장학생 신청서 - 개인정보 및 영상정보 수집이용 동의서 - 본인 기준 주민등록초본 - 가구원 1인의 주민등록등본 - 신입생 : 2021학년도 수능 성적표 또는 고등학교 생활기록부 원본대조필 사본 - 재학생 : 대학교 직전 학기 성적증명서 - 대학교 재학증명서 - 등록금 납부 확인서서 * 자세한 사항음 첨부파일 참고
재단법인 안산인재육성재단,안산꿈키움장학생(희망장학생),지자체,장학금,지역연고,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," - 신입생 : 수능 고득점자 또는 직전학년 교과목 전체 평균 85점 이상인 자(수시입학자 포함) - 재학생 : 직전학기 백분율 환산점수 85점 이상, 최소 12학점 이상 이수한 자자"," - 저소득층 학생(기초생활수급자, 한부모가족, 차상위계층)", - 1개 학기 등록금(200만원 한도), - 국내소재 대학교(전문대 포함) 재학생 - 29세 이하 대학생, - 공고일 현재 본인이 계속하여 1년이상 안산시에 주소를 두고 거주 - 공고일 현재 부/모가 계속하여 3년이상 안산시에 주소를 두고 거주, - 2021-03-22 ~ 2021-03-26,기준없음,약간명," - 원격대학 및 온라인강의, 교환학생, 휴학생 제외"," * 추천신청 : 신입생(출신고등학교장), 검정고시(주소지관할동장), 2학년이상(대학총장) * 개별신청 : 신청접수"," - 장학생 신청서 - 개인정보 및 영상정보 수집,이용 동의서 - 본인 기준 주민등록초본 - 가구원 1인의 주민등록등본 - 신입생 : 2021학년도 수능 성적표 또는 고등학교 생활기록부 원본대조필 사본(수시 입학자) - 재학생 : 대학교 직전 학기 성적증명서 - 대학교 재학증명서 - 등록금 납부확인서 * 자세한 사항은 첨부파일 참고고"
재단법인 안산인재육성재단,산업체근로자교육위탁장학생,지자체,장학금,지역연고,특정대학,대학신입생,"교육계열,사회계열,인문계열,제한없음",제한없음,제한없음," - 2,000,000원 한도 내", - 고등학교 졸업자(예정자 포함) 또는 이와 동등한 학력이 인정되는 사람 - 안산시 관내 산업체에 6개월 이상 근무하고 있는 사람 - 위탁대학의 위탁체결학과에 산업체위탁전형으로 등록한 1학년 신입생 **자세한 사항은 첨부자료 확인필, - 공고일 현재 본인과 가구원 1인 이상이 계속하여 3년 이상 또는 합산 10년 이상 안산시에 주소를 두고 거주하는 사람람, - 2021.03.08 ~ 2021.03.26, - 안산시 거주기간 30% + 취업분야 25% + 관내산업체 근무기간 20% + 건강보험 납부액 15% + 학업성적 10%," - 15명(신입생 10명, 기존장학생 5명)"," - 장학금 지급일 기준 시 관외로 이주한 경우(1개월 내에 시 관내로 돌아온 경우 제외) - 퇴학,정학,휴학처분을 받거나 자퇴하거나, 군입대, 건강장애 등 기타 사유로 학업을 중단하거나 또는 계속할 수 없을 경우 - 산업체에서 퇴사한 경우(관내 타 기업체로 3개월 이내에 이직한 경우 제외)"," - 학교 추천 방식으로, 신청시 각 학교 장학부서에 문의 필수"," - 재직증명서 - 본인 기준 주민등록 초본 - 가구원 1인의 주민등록등본 - 서약서 - 기존장학생 : 장학금 지급대상자 확인서 - 신규장학생 : 장학생 신청서, 고교 3학년 성적증명서, 2020년도 건강보험료 납부확인서, 개인정보 수집이용 동의서 * 자세한 사항은 첨부파일 참고고"
재단법인 안산인재육성재단,지역대학진학장학생,지자체,장학금,지역연고,"4년제(5~6년제포함),전문대(2~3년제)","대학2학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,대학신입생","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," - 신입생 : 수능 성적 백분율 평균 60% 이상 또는 직전학년 교과목 전체 평균이 60점 이상인 자 - 재학생 : 직전학기 백분율 환산점수 80점 이상, 최소 12학점 이상 이수",제한없음," - 대학생 2,000,000원 한도"," - 관내 소재 5개 학교 (한양대학교,안산대학교,신안산대학교,서울예술대학교, 호텔관광실용전문학교", - 공고일 현재 본인과 가구원 1인 이상이 계속하여 3년 이상 또는 합산 10년 이상 안산시에 주소를 두고 거주한 자자, - 2021-03-22 ~ 2021-03-26,기준없음, - 관내대학생 50명," - 원격대학 및 온라인강의, 교환학생, 휴학생 제외 - 안산시 대학생 본인부담 반값등록금 수혜 대상자일 경우 신청 불가 - 안산꿈키움장학금과 중복신청 불가가", - 대학교 (총)장, - 장학생 추천서 - 개인정보 및 영상정보 수집이용동의서 - 본인 기준 주민등록초본 - 가구원 1인의 주민등록등본 - 신입생 : 2021학년도 수학능력시험 성적표 또는 고등학교 생활기록부 원본대조필 사본 - 재학생 : 대학교 직전 학기 성적증명서 - 대학교 재학증명서 - 등록금 납부확인서 * 자세한 사항은 첨부파일 또는 홈페이지 공지사항 참고
재단법인 안산인재육성재단,대학생 본인부담 등록금 반값 지원,지자체,장학금,지역연고,"4년제(5~6년제포함),기술대학,원격대학,전문대(2~3년제)","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,연령제한,제한없음","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음"," - 재학생 : 직전학기 12학점 이상 이수하여 백분율 60점 이상(D학점 이상) - 장애인학생 : 성적기준 미적용 - 신입생, 편입생, 재입학생 : 첫 학기에 한하여 성적기준 미적용", - 국민기초생활수급자 / 차상위계층 학생 ," - (해당 학기 등록금 납부액 - 장학금, 학자금 등 지원액) X 50% ※ 학기별 100만원 한도, 등록금만 해당", - 29세 이하 대학생 중 지역거주여부를 만족하는 한국장학재단 국가장학금 지원대학에 재학중인 대학생 ※ 한국장학재단 국가장학금 우선 신청 - 국민기초생활수급자 / 차상위계층 학생  - 장애인 학생 - 다자녀가정 학생 전체 - 법정 한부모 가정학생, - 대학생과 가구원 1인 이상이 함께 공고일 및 지원일 현재 안산시에 주소를 두고 3년 이상 계속 거주 또는 합산 10년 이상 거주, - 2021-08-30 ~ 2021-11-12,기준없음,약간명, - 자퇴 또는 퇴학 등의 이유로 학업을 중지한 경우 - 지원일 기준 안산시에 주민등록이 되어 있지 않은 경우 - 반값 지원금과 중복되는 학자금을 지원받은 경우 - 부정한 방법으로 학자금을 받은 경우 (환수) - 사회적 물의를 야기하는 등 수혜자로서 적절하지 않다고 판단되는 경우 지원 제한 가능능,불필요," - 한국장학재단의 장학금 신청증명서 - 학자금 지원구간 통지서 - 본인부담 등록금 반값 지원서 - 학자금(수업료,입학금) (미)지급 확인서 - 가족관계증명서 (부 또는 모) - 주민등록 등본·초본 - 재학증명서, 등록금 납입증명서, 직전학기 성적증명서 - 건강보험 자격득실 확인서 - 대상 학생 또는 보호자의 통장사본 - 국민기초생활수급자증명서(해당자) - 장애인증명서(해당자) * 자세한 사항은 공고참고 필수"
박기주장학재단,미래희망인재육성 장학생,민간(기타),장학금,기타,"4년제(5~6년제포함),일반대학원,전문대(2~3년제),전문대학원","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상,박사과정,석사2학기이상,석사신입생(1학기)","공학계열,교육계열,사회계열,예체능계열,의약계열,인문계열,자연계열,제한없음",제한없음,제한없음, * 지급 범위 내 조정하여 지원, * 초·중·고·대학(원) 재학 중인 자로서 재단 목적 사업 실현에 걸맞는 품성을 지닌 미래 인재 학생 - 생활여건이 어려워 지원이 필요한 학생 - 성실하며 품행이 단정하여 모범이 되는 학생 - 평소 남을 위해 봉사활동을 해온 학생 - 특기가 있으나 가정형편이 어려워 외부지원이 필요한 학생 등,제한없음, - 2021-04-28 ~ 2021-05-11,기준없음,약간명,제한없음, - 학교장 또는 관련기관장의 추천서 제출, * 홈페이지에 접속하여 [장학신청] → [공고] 또는 [양식 다운로드] 에서 구비서류 다운 받아 작성 - 장학금 지원신청서 - 재학증명서 - 장학생 추천 및 타 장학금 수혜 확인서 - 주민등록등본 - 개인정보 수집·이용·제공 및 조회 동의서 - 보호자(본인) 통장 사본
대덕전자,김정식특지장학생,민간(기타),장학금,기타,특정대학,"대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,특정학과",제한없음, - 가계곤란자 우선선발," - 등록금 전액 * 단, 교/내외 등록금 전액 장학금 수혜자 제외(등록금 중복수혜 금지)"," - 2021-1학기 기준 서울대 전기정보공학부 2~4학년 등록예정자 - 2021-2학기 온라인 수강지도를 받은 자(센터에서 확인), 지도교수 정기 면담자 선발 시 우대",제한없음, - 2020-12-08 ~ 2021-01-12," - 가계, 성적 배분 반영하여 선발", - 3~4명 내외," - 휴학자, 전/컴군 전공 미진입생 및 규정학기 초과자 제외 - 등록금 중복수혜 원칙에 따라 교내외 타 등록금장학금과 중복수혜 할 수 없음 ", - 지도교수의 추천, - 장학생 지원서 - 자기소개서 - 건강보험료 납부확인서 - 부/모 지방세 세목별 납세 증명서 - 개인정보수집이용및제공동의서 - 지도교수추천서 * 계속 지급 대상자는 성적증명서만 제출 
한국전력공사,장학생,관계부처,장학금,성적우수,4년제(5~6년제포함),"대학6학기,대학7학기,연령제한,제한없음","공학계열,특정학과", - 직전학기까지 평균 평점 B학점 이상,제한없음," - 수업료 3,500,000원 및 학업보조비 500,000원 (1년지급)"," - 전기공학전공 학부 4학년  - 기초수급대상자, 차상위계층 ,농어촌 출신 우대 ",제한없음," - 2021-01-13 ~ 2021-01-18 * 학교추천장학이므로, 각 학교마다 기간이 다를 수 있음"," - 학업성적, 생활환경, 사회공헌활동 등 종합평가", - 4명,제한없음,불필요," - 전기공학 전공 확인 및 장학금 신청서 - 장학금 지원 신청서 - 자기소개서 - 개인정보 수집, 이용, 제공 동의서 - 시초생활수급자, 차상위계층대상자증명서 (해당자만) - 2021-1학기 소득분위 확인서류 - 성적증명서"
알프리장학회,알프리및고영테크놀러지장학생,민간(기타),장학금,기타,특정대학,"대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,특정학과", - 성적우수자 우대, - 가정 형편 곤란자 (소득분위 8분위 이내자 우대)," - 학기당 2,500,000원(1년 지급) * 교/내외 등록금 전액 장학금과 이중수혜 가능(*휴학 시 장학금 지급 중지)"," - 서울대학교 전기/정보공학부 3~4학년 중 2021-1,2학기 등록예정자 - 지도교수의 추천을 받은자 - 졸업 후 이공계 분야 진학 예정 자 - 2021-1학기 수강신청 승인을 받은 자 (센터에서 온라인으로 확인) * 2021-1학기 지도교수 정기면담자는 선발시 우대",제한없음, - 2020-12-29 ~ 2021-01-21,기준없음, - 2~3명, - 학기초과자 및 외국인 제외,불필요," * 학교 추천 방식으로, 신청시 각 학교 장학부서에 문의 필수.   - 장학생 지원서 - 자기소개서 - 추천서 - 건강보험료 납부확인서(2020년도 1년간) - 본인 부/모 각각의 지방세 세목별 과세 증명서 (2020년도 1년간)"
한국퀄컴,퀄컴장학금,민간(기타),장학금,기타,4년제(5~6년제포함),"대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,특정학과",제한없음,제한없음," - 2018년 학기 $5,000 USD + 6개월 가상 멘토십 프로그램 기회"," * 기관이 선정한 대학에서 학생을 추천하는 방식이므로 학과사무실이나 장학부서에 반드시 문의할 것 - STEM 분야 전공자(공학, 컴퓨터 과학, 정보 통싱 기술 등) - 학부 2,3학년 재학 중인자 - 여성 대학생 - 학업성적이 우수하고 성실한 학생",제한없음, - 2017-11-15 ~ 2018-01-02," * 학교 추천 방식으로, 신청시 각 학교 장학부서에 문의 필수.  ", - O명, - 규정학기 초과자 및 외국인 학생,총장추천필요," * 학교 추천 방식으로, 신청시 각 학교 장학부서에 문의 필수.   - 학교 총장 추천서 - 성적증명서 - 최근 이력서"
동산장학회,동산장학생,민간(기타),장학금,기타,"4년제(5~6년제포함),일반대학원","대학2학기,대학3학기,대학4학기,대학5학기,대학6학기,대학7학기,대학8학기이상","공학계열,자연계열", - 직전 학기의 성적을 참조하여 다음 학기 지원 여부 결정,제한없음," - 8,000,000원 * 학기별 지급, 1년 지원"," * 4년제 대학교 이공계 전공 북한이탈주민(북한 출생)으로 2021년도 2학기 재학 예정인 대학생 ( 공대, 자연대, 농대 우대 ) - 이공계 전공 북한이탈주민으로 성적이 우수하고 생활환경이 어려운 학생 - 긍정적인 사고와 자신의 미래에 대한 강한 비전을 가진 자",제한없음,- 2021-08-24~2021-09-24, - (1차) 서류심사 - (2차) 면접, - O명," - 공고일 현재 정학, 퇴학 등 징계처분을 받은 학생은 제외 - 학교를 중도에 자퇴, 퇴학, 휴학한 경우는 장학금을 중단, 철회함.", - 학과장의 추천서 제출," - 장학지원서 및 자기소개서 (사진 필수 첨부, 학생 직접 작성) - 학과장 장학생추천서 1부 - 소속대학교 장학팀 담당자 확인서(장학수혜증명서) - 직전학기 성적이 포함된 학업성적 증명서 - 재학증명서 * 자세한 사항은 첨부파일 참고, 양식 다운로드는 소속 대학 또는 유관대학 공지사항에 올라온 공고문을 참조 바랍니다."
